Method,Bay,Buoy #,Day #,Replicate #,Sample Hour,Sample Period,Copper (µg/L),Date,Time
ICP,SAB,B1,D0,1,.,Pre-exposure,3.35,7/21/2019,12:16
ICP,SAB,B2,D0,1,.,Pre-exposure,3.35,7/21/2019,12:35
ICP,SAB,B3,D0,1,.,Pre-exposure,3.35,7/21/2019,12:46
ICP,SAB,B4,D0,1,.,Pre-exposure,3.35,7/21/2019,12:54
ICP,SAB,B5,D0,1,.,Pre-exposure,3.35,7/21/2019,13:01
ICP,ROB,B1,D0,1,.,Pre-exposure,1,7/21/2019,13:37
ICP,ROB,B2,D0,1,.,Pre-exposure,1,7/21/2019,13:43
ICP,ROB,B3,D0,1,.,Pre-exposure,1,7/21/2019,13:56
ICP,ROB,B4,D0,1,.,Pre-exposure,3.35,7/21/2019,14:04
ICP,ROB,B5,D0,1,.,Pre-exposure,1,7/21/2019,14:10
ICP,ROB,B1,D1,1,H0,Exposure,23.46099267,7/22/2019,5:00
ICP,ROB,B2,D1,1,H0,Exposure,3.35,7/22/2019,5:09
ICP,ROB,B3,D1,1,H0,Exposure,3.35,7/22/2019,5:15
ICP,ROB,B4,D1,1,H0,Exposure,3.35,7/22/2019,5:20
ICP,ROB,B5,D1,1,H0,Exposure,1,7/22/2019,5:49
ICP,SAB,B1,D1,1,H0,Exposure,3.35,7/22/2019,5:49
ICP,SAB,B2,D1,1,H0,Exposure,3.35,7/22/2019,5:57
ICP,SAB,B3,D1,1,H0,Exposure,3.35,7/22/2019,6:04
ICP,SAB,B4,D1,1,H0,Exposure,3.35,7/22/2019,6:10
ICP,SAB,B5,D1,1,H0,Exposure,3.35,7/22/2019,6:16
ICP,SAB,B1,D1,1,H1,Exposure,6.6683712,7/22/2019,7:10
ICP,SAB,B2,D1,1,H1,Exposure,1,7/22/2019,7:11
ICP,SAB,B3,D1,1,H1,Exposure,81.08769533,7/22/2019,7:15
ICP,SAB,B4,D1,1,H1,Exposure,3.35,7/22/2019,7:19
ICP,SAB,B5,D1,1,H1,Exposure,3.35,7/22/2019,7:22
ICP,SAB,B1,D1,1,H2,Exposure,5.638822933,7/22/2019,8:04
ICP,SAB,B2,D1,1,H2,Exposure,52.74281,7/22/2019,8:08
ICP,SAB,B3,D1,1,H2,Exposure,45.81059013,7/22/2019,8:12
ICP,SAB,B4,D1,1,H2,Exposure,14.81214107,7/22/2019,8:15
ICP,SAB,B5,D1,1,H2,Exposure,63.06090827,7/22/2019,8:20
