Collection Date,Sample Code,Bay,Buoy #,Sampler #,Plate #,# Counted,Count/m²
9/4/2019,SAB-B1-S1-P3,SAB,B1,1,3,0,0
9/4/2019,SAB-B1-S2-P3,SAB,B1,2,3,0,0
9/4/2019,SAB-B1-S3-P3,SAB,B1,3,3,1,20.97315436
9/4/2019,SAB-B2-S1-P3,SAB,B2,1,3,0,0
9/4/2019,SAB-B2-S2-P3,SAB,B2,2,3,1,20.97315436
9/4/2019,SAB-B2-S3-P3,SAB,B2,3,3,16,335.5704698
9/4/2019,SAB-B3-S1-P3,SAB,B3,1,3,1,20.97315436
9/4/2019,SAB-B3-S2-P3,SAB,B3,2,3,0,0
9/4/2019,SAB-B3-S3-P3,SAB,B3,3,3,4,83.89261745
9/4/2019,SAB-B4-S1-P3,SAB,B4,1,3,5,104.8657718
9/4/2019,SAB-B4-S2-P3,SAB,B4,2,3,4,83.89261745
9/4/2019,SAB-B4-S3-P3,SAB,B4,3,3,0,0
9/4/2019,SAB-B5-S1-P3,SAB,B5,1,3,16,335.5704698
9/4/2019,SAB-B5-S2-P3,SAB,B5,2,3,1,20.97315436
9/4/2019,SAB-B5-S3-P3,SAB,B5,3,3,5,104.8657718
10/29/2019,SAB-B1-S1-P3,SAB,B1,1,3,1,20.97315436
10/29/2019,SAB-B1-S2-P3,SAB,B1,2,3,0,0
10/29/2019,SAB-B1-S3-P3,SAB,B1,3,3,.,.
10/29/2019,SAB-B2-S1-P3,SAB,B2,1,3,4,83.89261745
10/29/2019,SAB-B2-S2-P3,SAB,B2,2,3,1,20.97315436
10/29/2019,SAB-B2-S3-P3,SAB,B2,3,3,1,20.97315436
10/29/2019,SAB-B3-S1-P3,SAB,B3,1,3,0,0
10/29/2019,SAB-B3-S2-P3,SAB,B3,2,3,0,0
10/29/2019,SAB-B3-S3-P3,SAB,B3,3,3,3,62.91946309
10/29/2019,SAB-B4-S1-P3,SAB,B4,1,3,1,20.97315436
10/29/2019,SAB-B4-S2-P3,SAB,B4,2,3,0,0
10/29/2019,SAB-B4-S3-P3,SAB,B4,3,3,1,20.97315436
10/29/2019,SAB-B5-S1-P3,SAB,B5,1,3,0,0
10/29/2019,SAB-B5-S2-P3,SAB,B5,2,3,0,0
10/29/2019,SAB-B5-S3-P3,SAB,B5,3,3,1,20.97315436
9/4/2019,ROB-B1-S1-P3,ROB,B1,1,3,6924,145218.1208
9/4/2019,ROB-B1-S2-P3,ROB,B1,2,3,6214,130327.1812
9/4/2019,ROB-B1-S3-P3,ROB,B1,3,3,5807,121791.1074
9/4/2019,ROB-B2-S1-P3,ROB,B2,1,3,7236,151761.745
9/4/2019,ROB-B2-S2-P3,ROB,B2,2,3,6776,142114.094
9/4/2019,ROB-B2-S3-P3,ROB,B2,3,3,5360,112416.1074
9/4/2019,ROB-B3-S1-P3,ROB,B3,1,3,.,.
9/4/2019,ROB-B3-S2-P3,ROB,B3,2,3,6940,145553.6913
9/4/2019,ROB-B3-S3-P3,ROB,B3,3,3,.,.
9/4/2019,ROB-B4-S1-P3,ROB,B4,1,3,6806,142743.2886
9/4/2019,ROB-B4-S2-P3,ROB,B4,2,3,6739,141338.0872
9/4/2019,ROB-B4-S3-P3,ROB,B4,3,3,6528,136912.7517
9/4/2019,ROB-B5-S1-P3,ROB,B5,1,3,5815,121958.8926
9/4/2019,ROB-B5-S2-P3,ROB,B5,2,3,6715,140834.7315
9/4/2019,ROB-B5-S3-P3,ROB,B5,3,3,6734,141233.2215
10/30/2019,ROB-B1-S1-P3,ROB,B1,1,3,2313,48510.90604
10/30/2019,ROB-B1-S2-P3,ROB,B1,2,3,3388,71057.04698
10/30/2019,ROB-B1-S3-P3,ROB,B1,3,3,3215,67428.69128
10/30/2019,ROB-B2-S1-P3,ROB,B2,1,3,1505,31564.59732
